age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,Prediction time,Model used
0,Admin.,Married,Primary,Yes,0.0,Yes,Yes,Telephone,1,Jan,0,0,-1,0,Success,Yes,2024-12-10,Random Forest
0,Admin.,Married,Primary,Yes,0.0,Yes,Yes,Telephone,1,Jan,0,0,-1,0,Success,2024-12-10,Random Forest
0,Admin.,Married,Primary,Yes,0.0,Yes,Yes,Telephone,1,Jan,0,0,-1,0,Success,2024-12-10,SVC
0,Admin.,Married,Primary,Yes,0.0,Yes,Yes,Telephone,1,Jan,0,0,-1,0,Success,2024-12-10,Random Forest
0,Admin.,Married,Primary,Yes,0.0,Yes,Yes,Telephone,1,May,0,0,-1,0,Success,2024-12-10,Random Forest
0,Admin.,Married,Primary,Yes,0.0,Yes,Yes,Telephone,1,May,0,0,-1,0,Success,2024-12-10,Random Forest
0,Admin.,Married,Secondary,No,0.0,Yes,Yes,Telephone,1,May,0,0,-1,0,Success,2024-12-10,Random Forest
0,Admin.,Married,Secondary,No,0.0,Yes,No,Unknown,1,May,0,2,2,0,Other,2024-12-10,Random Forest
54,Retired,Married,Primary,Yes,0.0,Yes,Yes,Telephone,1,Jan,600,1,-1,2,Success,2024-12-10,Random Forest
54,Retired,Married,Primary,Yes,0.0,Yes,Yes,Telephone,1,Sep,800,1,-1,2,Success,2024-12-10,Random Forest
25,Retired,Married,Primary,No,0.0,No,No,Telephone,1,Sep,800,1,-1,2,Success,2024-12-10,Random Forest
25,Retired,Married,Primary,No,0.0,No,No,Telephone,1,Sep,800,1,-1,2,Success,2024-12-10,SVC
25,Retired,Married,Primary,No,0.0,No,No,Telephone,1,Sep,800,1,-1,2,Success,2024-12-10,SVC
0,Admin.,Married,Primary,Yes,0.0,Yes,Yes,Telephone,1,Jan,0,0,-1,0,Success,2024-12-10,SVC
56,Admin.,Married,Primary,Yes,0.0,No,No,Telephone,1,May,0,1,-1,0,Success,2024-12-10,SVC
56,Admin.,Married,Primary,Yes,0.0,No,No,Telephone,1,May,600,1,-1,0,Success,2024-12-10,SVC
56,Admin.,Married,Tertiary,No,0.0,No,No,Telephone,1,May,600,1,-1,0,Success,2024-12-10,SVC
